BytesFromZero,TimeZero,TimeN100
0,106880373411848,106880261169160
100,106880373411848,106880261169160
200,106880373411848,106880261169160
300,106880373411848,106880261169160
400,106880373411848,106880261169160
500,106880373411848,106880261169160
600,106880373411848,106880261169160
700,106880373411848,106880261169160
800,106880373411848,106880261169160
900,106880373411848,106880261169160
1000,106880373411848,106880261169160
1100,106880373411848,106880261169160
1200,106880373411848,106880261169160
1300,106880373411848,106880261169160
1400,106880373411848,106880261169160
1500,106880373411848,106880261169160
1600,106880373411848,106880261169160
1700,106880373411848,106880261169160
1800,106880373411848,106880261169160
1900,106880373411848,106880261169160
2000,106880373411848,106880261169160
2100,106880373411848,106880261169160
2200,106880373411848,106880261169160
2300,106880373411848,106880261169160
2400,106880373411848,106880261169160
2500,106880373411848,106880261169160
2600,106880373411848,106880261169160
2700,106880373411848,106880261169160
2800,106880373411848,106880261169160
2900,106880373411848,106880261169160
3000,106880373411848,106880261169160
3100,106880373411848,106880261169160
3200,106880373411848,106880261169160
3300,106880373411848,106880261169160
3400,106880373411848,106880261169160
3500,106880373411848,106880261169160
3600,106880373411848,106880261169160
3700,106880373411848,106880261169160
3800,106880373411848,106880261169160
3900,106880373411848,106880261169160
4000,106880373411848,106880261169160
4100,106880373411848,106880261169160
4200,106880373411848,106880261169160
4300,106880373411848,106880261169160
4400,106880373411848,106880261169160
4500,106880373411848,106880261169160
4600,106880373411848,106880261169160
4700,106880373411848,106880261169160
4800,106880373411848,106880261169160
4900,106880373411848,106880261169160
5000,106880373411848,106880261169160
5100,106880373411848,106880261169160
5200,106880373411848,106880261169160
5300,106880373411848,106880261169160
5400,106880373411848,106880261169160
5500,106880373411848,106880261169160
5600,106880373411848,106880261169160
5700,106880373411848,106880261169160
5800,106880373411848,106880261169160
5900,106880373411848,106880261169160
6000,106880373411848,106880261169160
6100,106880373411848,106880261169160
6200,106880373411848,106880261169160
6300,106880373411848,106880261169160
6400,106880373411848,106880261169160
6500,106880373411848,106880261169160
6600,106880373411848,106880261169160
6700,106880373411848,106880261169160
6800,106880373411848,106880261169160
6900,106880373411848,106880261169160
7000,106880373411848,106880261169160
7100,106880373411848,106880261169160
7200,106880373411848,106880261169160
7300,106880373411848,106880261169160
7400,106880373411848,106880261169160
7500,106880373411848,106880261169160
7600,106880373411848,106880261169160
7700,106880373411848,106880261169160
7800,106880373411848,106880261169160
7900,106880373411848,106880261169160
8000,106880373411848,106880261169160
8100,106880373411848,106880261169160
